epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2653847932815552,4.2369842529296875,0.0003,0.25745099782943726,4.476772785186768
1,0.265286386013031,4.233325481414795,0.0003,0.25745099782943726,4.475945949554443
2,0.2655329406261444,4.227113723754883,0.0003,0.2578928470611572,4.479618072509766
3,0.26600170135498047,4.2230024337768555,0.0003,0.25793299078941345,4.480265140533447
4,0.2654419243335724,4.239510536193848,0.0003,0.25769200921058655,4.479427814483643
5,0.26562923192977905,4.235805034637451,0.0003,0.2578526735305786,4.479974746704102
6,0.26503875851631165,4.240233898162842,0.0003,0.2581137418746948,4.482388496398926
7,0.2656080722808838,4.230949401855469,0.00015,0.25771209597587585,4.480872631072998
8,0.26535093784332275,4.234321594238281,0.00015,0.2578325867652893,4.481605052947998
9,0.2658292353153229,4.231347560882568,0.00015,0.25791290402412415,4.48150110244751
