epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.09894824773073196,5.654299259185791,0.008,0.12617051601409912,5.277835845947266
1,0.13828608393669128,5.1637067794799805,0.008,0.153037890791893,4.977552890777588
2,0.15164177119731903,4.962952613830566,0.008,0.16398084163665771,4.837951183319092
3,0.1603287160396576,4.856036186218262,0.008,0.1731271743774414,4.763393402099609
4,0.16533634066581726,4.78670597076416,0.008,0.1766114979982376,4.718040943145752
5,0.16856180131435394,4.739858627319336,0.008,0.17840810120105743,4.691707611083984
6,0.17153611779212952,4.702308654785156,0.008,0.18148410320281982,4.672028541564941
7,0.1733303815126419,4.672967433929443,0.008,0.18232795596122742,4.659953594207764
8,0.1742956042289734,4.650537967681885,0.008,0.1831718236207962,4.645251274108887
9,0.17605054378509521,4.632270336151123,0.008,0.18273627758026123,4.640453815460205
10,0.17736674845218658,4.614665985107422,0.008,0.18592116236686707,4.626928329467773
11,0.1782442182302475,4.5968828201293945,0.008,0.18578505516052246,4.623167037963867
12,0.17938189208507538,4.586360931396484,0.008,0.18809886276721954,4.6184773445129395
13,0.18123063445091248,4.574323654174805,0.008,0.18649281561374664,4.615671157836914
14,0.18127602338790894,4.565317630767822,0.008,0.1895960420370102,4.611025810241699
15,0.18151505291461945,4.556178569793701,0.008,0.18741834163665771,4.61314058303833
16,0.18249237537384033,4.545795917510986,0.008,0.18828941881656647,4.611135005950928
17,0.18281613290309906,4.5397868156433105,0.008,0.18858884274959564,4.602075099945068
18,0.1836179494857788,4.5351643562316895,0.008,0.18918772041797638,4.597576141357422
19,0.1843622922897339,4.525241374969482,0.008,0.1893782615661621,4.6035685539245605
20,0.18455897271633148,4.522067546844482,0.008,0.19038544595241547,4.603480815887451
21,0.1848645657300949,4.516075611114502,0.008,0.18962325155735016,4.601865291595459
22,0.18554233014583588,4.5082573890686035,0.008,0.1909843236207962,4.59883451461792
23,0.1856996715068817,4.505008220672607,0.008,0.19131097197532654,4.596002101898193
24,0.18580859899520874,4.503442764282227,0.008,0.19114765524864197,4.598051071166992
25,0.18597501516342163,4.500389099121094,0.008,0.19092987477779388,4.594210147857666
26,0.1866830438375473,4.493333339691162,0.008,0.1909843236207962,4.5975565910339355
27,0.1870582401752472,4.4900007247924805,0.008,0.19128374755382538,4.592260837554932
28,0.18748487532138824,4.4844279289245605,0.008,0.19166484475135803,4.59271240234375
29,0.1872549206018448,4.48289155960083,0.008,0.19103875756263733,4.591460227966309
30,0.1879054456949234,4.478734016418457,0.008,0.1927264779806137,4.585874557495117
31,0.1885257363319397,4.475609302520752,0.008,0.1929442435503006,4.589524269104004
32,0.18819290399551392,4.475060939788818,0.008,0.19359755516052246,4.587586879730225
33,0.18808095157146454,4.471862316131592,0.008,0.19299869239330292,4.593504428863525
34,0.1897541880607605,4.468132495880127,0.008,0.19166484475135803,4.583406448364258
35,0.18897052109241486,4.468400001525879,0.008,0.19256314635276794,4.589749336242676
36,0.18994782865047455,4.464117050170898,0.008,0.19367922842502594,4.586062431335449
37,0.18900682032108307,4.4620490074157715,0.008,0.19234538078308105,4.591886043548584
38,0.18956053256988525,4.4588727951049805,0.008,0.1937064528465271,4.584700107574463
39,0.19007492065429688,4.460005283355713,0.008,0.19501306116580963,4.58301305770874
40,0.1904228776693344,4.453413486480713,0.008,0.1928625851869583,4.586838722229004
41,0.18990547955036163,4.453065395355225,0.008,0.19367922842502594,4.586061000823975
42,0.19044709205627441,4.452150344848633,0.008,0.19403310120105743,4.583244800567627
43,0.1906135082244873,4.449638366699219,0.008,0.19444142282009125,4.581207275390625
44,0.1911672204732895,4.449164390563965,0.008,0.19239982962608337,4.588802814483643
45,0.19057416915893555,4.449253559112549,0.008,0.19234538078308105,4.582560062408447
46,0.19066190719604492,4.447549819946289,0.008,0.19400587677955627,4.58502197265625
47,0.19118234515190125,4.444549083709717,0.008,0.19340701401233673,4.580174446105957
48,0.19094936549663544,4.443861484527588,0.008,0.19318924844264984,4.582831382751465
49,0.1909947544336319,4.442266464233398,0.008,0.19422365725040436,4.584516525268555
